"","mem_point_","mem_point1","new_transe","new_tran_1","new_tran_2","new_tran_3","new_tran_4","new_tran_5","X","Y","elevation","elev_units","coords.x1","coords.x2","optional"
"1235",12,0.23,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.878196865,44.2040772634,1281.46,"meters",-117.878196864874,44.204077263387,TRUE
"1236",12,0.24,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.876271651,44.213323814,1342.21,"meters",-117.876271651178,44.2133238139798,TRUE
"1237",12,0.25,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.874345658,44.2225704825,1424.95,"meters",-117.874345658311,44.2225704825102,TRUE
"1238",12,0.26,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.87241888,44.2318172686,1448.78,"meters",-117.872418879662,44.2318172686067,TRUE
"1239",12,0.27,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.870491317,44.2410641728,1355.27,"meters",-117.87049131675,44.2410641727622,TRUE
"1240",12,0.28,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.868562972,44.2503111956,1305.95,"meters",-117.868562972347,44.2503111956034,TRUE
"1241",12,0.29,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.866633846,44.2595583374,1295.63,"meters",-117.86663384569,44.2595583373812,TRUE
"1242",12,0.3,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.864703936,44.2688055983,1249.57,"meters",-117.864703936016,44.2688055983467,TRUE
"1243",12,0.31,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.862773243,44.2780529788,1236.15,"meters",-117.862773242561,44.2780529787509,TRUE
"1244",12,0.32,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.860841765,44.2873004788,1201.48,"meters",-117.860841764562,44.2873004788451,TRUE
"1245",12,0.33,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.858909501,44.2965480989,1164.32,"meters",-117.858909501252,44.2965480988806,TRUE
"1246",12,0.34,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.856976452,44.3057958391,1152.21,"meters",-117.856976451866,44.3057958391086,TRUE
